HH-pol,HV-pol,SM1 (%),Crop Name,label
-10.82931,-20.12851,50.0,Paddy,Very High
-12.24493,-22.67266,41.8,Fallow,Very High
-11.27731,-22.56109,50.0,Paddy,Very High
-12.15875,-19.22189,50.0,Paddy,Very High
-13.97678,-20.70181,50.0,Paddy,Very High
-10.52266,-20.00559,50.0,Paddy,Very High
-11.1282,-21.04484,50.0,Paddy,Very High
-13.01533,-21.96145,50.0,Paddy,Very High
-12.51616,-18.8468,50.0,Paddy,Very High
-16.27731,-22.62097,50.0,Paddy,Very High
-11.82443,-21.86456,50.0,Paddy,Very High
-9.90692,-14.64921,50.0,Paddy,Very High
-13.48555,-20.10587,50.0,Paddy,Very High
-14.04271,-19.5161,50.0,Paddy,Very High
-12.64351,-21.33518,50.0,Fallow,Very High
-11.07345,-17.89273,50.0,Paddy,Very High
-12.87642,-20.74323,50.0,Paddy,Very High
-6.82333,-16.20901,50.0,Paddy,Very High
-11.31522,-15.84673,38.9,Paddy,High
-6.14152,-17.384,50.0,Paddy,Very High
-11.68878,-13.91453,43.4,Jowar,Very High
-8.29516,-15.47847,50.0,Paddy,Very High
-10.7819,-19.28788,50.0,Paddy,Very High
-13.13772,-20.08251,50.0,Paddy,Very High
-16.96575,-21.34628,50.0,Fallow,Very High
-17.27041,-19.42139,50.0,Fallow,Very High
-8.05964,-16.01037,50.0,Fallow,Very High
-16.05697,-21.51727,50.0,Paddy,Very High
-8.15488,-18.29449,50.0,Paddy,Very High
-12.88873,-21.12575,50.0,Paddy,Very High
-13.56555,-20.2449,50.0,Paddy,Very High
-13.04687,-18.27802,50.0,Fallow,Very High
-8.50332,-15.65694,50.0,Paddy,Very High
-8.41803,-15.43912,43.7,Fallow,Very High
-10.00566,-16.41489,50.0,Fallow,Very High
-7.309,-14.17957,19.3,Kshan,Medium
-6.33322,-17.6409,23.1,Kshan,Medium
-9.58935,-13.73057,23.8,Fallow,Medium
-8.3461,-13.12251,25.2,Fallow,High
-8.21738,-12.56861,24.3333333333333,Fallow,High
-6.86609,-14.60348,26.7,Fallow,High
-6.02413,-13.26454,36.7,Fallow,High
-10.45769,-16.53224,29.0,Fallow,High
-6.12466,-14.20569,37.0,Jowar,High
-8.62571,-15.0882,31.6,Fallow,High
-8.56671,-15.51097,33.5,Fallow,High
-10.35874,-10.90153,32.3,Fallow,High
-10.86261,-17.07296,31.2,Fallow,High
-5.86578,-12.9668,41.9,Fallow,Very High
-10.08786,-13.93044,31.5666666666667,Fallow,High
-8.25635,-18.71127,27.6,Fallow,High
-7.98556,-17.91144,28.3,Fallow,High
-8.47568,-16.03512,50.0,Paddy,Very High
-6.38065,-14.61677,34.9,Fallow,High
-6.75783,-17.04476,27.6333333333333,Paddy,High
-8.97659,-15.62152,37.8,Fallow,High
-8.68369,-15.51584,32.6,Perl Millet,High
-10.83341,-20.98558,50.0,Paddy,Very High
-13.02923,-16.41008,29.2,Jowar,High
-11.38574,-18.39531,31.7333333333333,Perl Millet,High
-7.39612,-19.49279,37.7,Fallow,High
-5.66686,-14.14722,50.0,Paddy,Very High
-8.8775,-15.21464,39.1,Fallow,High
-9.44876,-15.68499,36.6,Fallow,High
-8.01311,-14.96839,37.5,Fallow,High
-11.44493,-14.73063,50.0,Paddy,Very High
-11.8559,-18.77247,50.0,Paddy,Very High
-9.06436,-16.29996,50.0,Paddy,Very High
-10.27836,-16.04705,50.0,Paddy,Very High
-8.51599,-20.99684,50.0,Paddy,Very High
-10.96273,-18.79009,50.0,Paddy,Very High
-12.03098,-17.67436,50.0,Fallow,Very High
-9.40011,-17.84343,31.1,Paddy,High
-10.59467,-17.05055,50.0,Paddy,Very High
-10.86994,-18.5496,39.7,Paddy,High
-10.83925,-18.9779,27.7,Fallow,High
-10.18749,-20.28508,31.0,Fallow,High
-10.3624,-16.83933,50.0,Paddy,Very High
-11.24673,-17.86069,50.0,Paddy,Very High
-12.67938,-16.12312,50.0,Paddy,Very High
-9.09611,-16.8896,36.3,Fallow,High
-7.3754,-17.26604,50.0,Fallow,Very High
-12.89968,-18.29554,35.1666666666667,Fallow,High
-10.53195,-18.60829,50.0,Paddy,Very High
-12.03672,-16.73884,36.1,Fallow,High
-10.63929,-16.29804,35.2,Fallow,High
-12.70363,-18.54269,40.9,Fallow,Very High
-10.34854,-18.27671,40.8666666666667,Fallow,Very High
-7.29373,-12.14712,38.9,Fallow,High
-6.18405,-16.34395,50.0,Paddy,Very High
-5.47001,-16.20899,50.0,Paddy,Very High
-4.38481,-14.81886,25.0,Lemon,High
-6.36916,-17.59889,50.0,Paddy,Very High
-4.58597,-16.34784,51.9,Paddy,Very High
-8.4368,-18.56791,50.0,Paddy,Very High
-7.55066,-15.89843,50.0,Paddy,Very High
-9.92803,-14.14654,50.0,Paddy,Very High
-6.27212,-18.32305,50.0,Paddy,Very High
-3.19903,-14.53877,50.0,Paddy,Very High
-6.1912,-15.74326,50.0,Paddy,Very High
-9.42683,-17.74835,50.0,Paddy,Very High
-6.85237,-14.40415,50.0,Paddy,Very High
-6.7946,-15.25469,50.0,Paddy,Very High
-7.82381,-18.21699,47.2,Paddy,Very High
-4.7548,-17.94712,50.0,Paddy,Very High
-11.70137,-16.59612,50.0,Paddy,Very High
-7.11744,-18.59997,37.8,Fallow,High
-11.65993,-18.40831,50.0,Paddy,Very High
-6.49692,-17.11342,44.1,Paddy,Very High
-6.09195,-17.99396,47.7,Paddy,Very High
-7.27144,-16.68757,46.9,Paddy,Very High
-8.5525,-17.10312,50.0,Paddy,Very High
-8.39989,-17.42946,50.0,Paddy,Very High
-9.96563,-14.62218,50.0,Paddy,Very High
-8.95811,-15.11142,50.0,Paddy,Very High
-9.31051,-14.73217,50.0,Paddy,Very High
-8.57977,-12.50566,50.0,Paddy,Very High
-8.41679,-13.83682,50.0,Paddy,Very High
-4.54688,-15.08678,50.0,Paddy,Very High
-11.72673,-17.33714,50.0,Paddy,Very High
-6.34147,-18.35529,50.0,Paddy,Very High
-8.96873,-18.02634,44.0,Paddy,Very High
-6.07186,-15.19654,46.1,Paddy,Very High
-7.72652,-18.17919,43.7,Jowar,Very High
-4.40809,-15.64045,50.0,Paddy,Very High
-12.03091,-16.1165,50.0,Paddy,Very High
-12.07203,-18.54006,50.0,Paddy,Very High
-6.93895,-17.66455,50.0,Paddy,Very High
-13.9828,-24.9935,50.0,Paddy,Very High
-12.28186,-13.79171,50.0,Paddy,Very High
-10.84241,-18.51539,50.0,Paddy,Very High
-13.30624,-17.67404,50.0,Paddy,Very High
-7.6572,-17.76231,50.0,Paddy,Very High
-8.01907,-18.70567,38.4,Fallow,High
-9.9391,-20.1757,50.0,Paddy,Very High
-6.64937,-14.96786,24.6,Fallow,High
-8.23447,-17.53228,17.9,Fallow,Medium
-7.0817,-15.82356,33.2,Fallow,High
-8.14,-12.49061,27.8,Fallow,High
-8.70077,-15.50631,28.3333333333333,Fallow,High
-7.50349,-14.51266,27.3,Jowar,High
-6.33829,-13.4996,31.3,Jowar,High
-7.46843,-12.3931,36.8,Jowar,High
-12.44615,-15.96233,38.9,Jowar,High
-7.35386,-14.12052,29.2666666666667,Jowar,High
-8.56139,-15.68347,36.5,Fallow,High
-4.48916,-16.62357,32.5,Fallow,High
-6.70969,-17.98182,42.0,Fallow,Very High
-7.98202,-16.25261,50.0,Paddy,Very High
-7.48484,-19.04729,36.3666666666667,Fallow,High
-4.76422,-12.6668,34.0,Jowar,High
-5.72056,-15.0184,26.3,Jowar,High
-7.72644,-17.10797,50.0,Paddy,Very High
-7.55017,-15.41769,34.1,Jowar,High
-5.43762,-14.48507,29.3333333333333,Jowar,High
-7.65977,-15.2958,40.8,Fallow,High
-8.54116,-16.96816,30.0,Perl Millet,High
-9.52052,-16.26146,50.0,Paddy,Very High
-10.25364,-13.55352,29.0,Fallow,High
-8.50553,-16.4293,32.6333333333333,Perl Millet,High
-5.44225,-14.39821,36.8,Fallow,High
-4.3588,-16.12111,50.0,Paddy,Very High
-6.14225,-16.39474,36.4,Fallow,High
-4.11842,-14.55967,38.5,Fallow,High
-5.1737,-14.60308,36.0,Fallow,High
-8.06514,-15.1054,46.9,Paddy,Very High
-7.68397,-18.48664,42.0,Paddy,Very High
-6.95712,-16.41238,48.5,Paddy,Very High
-6.57781,-13.33375,50.0,Paddy,Very High
-8.34875,-14.48604,38.8666666666667,Paddy,High
-8.98571,-14.66324,50.0,Paddy,Very High
-5.88914,-15.26398,44.6,Paddy,Very High
-8.6018,-16.29018,34.4,Fallow,High
-7.02499,-15.68814,32.2,Paddy,High
-8.57395,-14.50222,50.0,Paddy,Very High
-6.82182,-16.61835,50.0,Paddy,Very High
-8.69237,-19.28199,30.0,Fallow,High
-5.97735,-15.46773,50.0,Paddy,Very High
-4.20397,-14.73294,41.4,Paddy,Very High
-5.97702,-11.54259,24.7,Fallow,High
-4.27793,-12.46743,27.7,Fallow,High
-9.24373,-13.12367,50.0,Paddy,Very High
-5.32011,-16.12759,35.1,Paddy,High
-6.66367,-14.79861,40.7,Paddy,High
-7.88414,-15.73399,40.9,Paddy,Very High
-7.58686,-14.04316,42.0,Paddy,Very High
-7.49553,-13.07635,46.1,Paddy,Very High
-8.01217,-12.84601,46.4,Paddy,Very High
-6.05729,-16.02069,30.7,Fallow,High
-5.75495,-13.02981,50.0,Paddy,Very High
-6.81345,-14.52173,40.9,Fallow,Very High
-4.70898,-13.49072,50.0,Fallow,Very High
-4.99884,-13.33651,30.5,Fallow,High
-8.76236,-16.08855,46.9,Paddy,Very High
-8.06031,-15.74053,50.0,Paddy,Very High
-7.11428,-11.90641,18.1,Lemon,Medium
-8.73264,-15.6103,50.0,Paddy,Very High
-8.32358,-15.11733,34.4,Paddy,High
-5.27314,-15.93518,41.1,Paddy,Very High
-4.6602,-12.17197,43.0,Paddy,Very High
-8.35388,-15.54511,46.7,Paddy,Very High
-6.66882,-14.40144,41.1333333333333,Paddy,Very High
-4.35199,-11.88953,50.0,Paddy,Very High
-1.8608,-14.00908,50.0,Paddy,Very High
-4.47322,-14.55493,36.4,Paddy,High
-6.66511,-15.17774,24.6,Paddy,High
-4.99897,-13.89358,43.9666666666667,Paddy,Very High
-4.48987,-16.22099,47.9,Paddy,Very High
-5.83306,-13.3987,44.3,Paddy,Very High
-6.48017,-13.16828,52.5,Paddy,Very High
-5.55754,-15.08214,41.1,Fallow,Very High
-7.28152,-13.28189,37.3666666666667,Paddy,High
-4.08988,-14.32754,38.5,Paddy,High
-4.8644,-19.51873,33.8,Paddy,High
-5.32052,-12.68728,40.7,Paddy,High
-4.50244,-14.0559,37.9,Paddy,High
-5.62248,-12.87219,43.8,Paddy,Very High
-7.75879,-17.50017,48.1,Paddy,Very High
-8.62711,-16.22842,50.4,Paddy,Very High
-5.83336,-15.59575,34.0,Paddy,High
-7.10793,-15.47552,45.7,Paddy,Very High
-6.65469,-13.96096,48.1,Paddy,Very High
-5.06773,-13.6938,32.0,Paddy,High
-4.07858,-14.66934,32.0,Paddy,High
-6.50964,-13.4572,50.0,Paddy,Very High
-8.56189,-14.49474,40.4,Paddy,High
-6.54663,-14.60627,46.1,Paddy,Very High
-5.29002,-18.48192,41.4,Sorgham,Very High
-6.33641,-13.52044,50.0,Paddy,Very High
-8.10189,-17.94307,46.1,Paddy,Very High
-6.47336,-16.44584,46.6,Paddy,Very High
-5.83898,-15.54271,41.6,Paddy,Very High
-8.05631,-15.32829,50.0,Paddy,Very High
-6.26478,-16.16601,38.7666666666667,Paddy,High
-5.16772,-17.85686,32.0,Paddy,High
-4.63326,-17.51054,33.0,Paddy,High
-6.58812,-15.59142,35.0,Paddy,High
-8.07244,-13.98138,36.0,Paddy,High
-6.0819,-17.50151,12.6666666666667,Paddy,Medium
-5.2147,-16.84822,32.0,Paddy,High
-4.64057,-13.77984,33.0,Paddy,High
-7.45518,-15.36296,35.0,Paddy,High
-5.25265,-16.18699,36.0,Paddy,High
-7.85296,-12.8293,12.6666666666667,Paddy,Medium
-5.43428,-17.25871,32.0,Paddy,High
-5.47961,-17.69059,33.0,Paddy,High
-5.36748,-14.50275,35.0,Paddy,High
-5.93136,-16.04081,36.0,Paddy,High
-4.05484,-15.50216,12.6666666666667,Paddy,Medium
-4.29823,-17.39193,32.0,Paddy,High
-5.9704,-18.23486,33.0,Paddy,High
-7.15453,-15.02996,35.0,Paddy,High
-5.10828,-13.87133,36.0,Paddy,High
-5.83141,-16.57474,12.6666666666667,Paddy,Medium
-6.3091,-14.7848,50.0,Paddy,Very High
-9.13262,-14.72121,50.0,Paddy,Very High
-8.45834,-13.09418,50.0,Paddy,Very High
-5.25104,-15.03094,44.1,Fallow,Very High
-4.5851,-16.06787,50.0,Paddy,Very High
-10.71792,-13.33568,22.7,Fallow,Medium
-5.37054,-14.10747,15.6,Fallow,Medium
-8.74534,-15.00133,22.9,Perl Millet,Medium
-9.57462,-17.80553,16.5,Perl Millet,Medium
-9.09491,-15.77481,20.8333333333333,Perl Millet,Medium
-6.95776,-14.11567,19.0,Fodder,Medium
-6.27938,-14.12466,21.2,Fodder,Medium
-5.0082,-13.58419,25.4,Fodder,High
-7.77221,-12.65154,32.7,Fallow,High
-4.57311,-12.97232,23.7,Fodder,Medium
-9.98429,-13.89482,26.1,Fallow,High
-7.70979,-10.56117,19.9,Fallow,Medium
-4.21573,-12.36695,25.2,Fallow,High
